Type	Symbol	Name	ID	URL	Locus type	status
gene	ABCB10	ATP binding cassette subfamily B member 10	HGNC:41	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:41	Gene with protein product	Approved
gene	ABCB11	ATP binding cassette subfamily B member 11	HGNC:42	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42	Gene with protein product	Approved
gene	ABCC1	ATP binding cassette subfamily C member 1	HGNC:51	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:51	Gene with protein product	Approved
gene	ABCC2	ATP binding cassette subfamily C member 2	HGNC:53	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:53	Gene with protein product	Approved
gene	ABCC3	ATP binding cassette subfamily C member 3	HGNC:54	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54	Gene with protein product	Approved
gene	ABCC4	ATP binding cassette subfamily C member 4	HGNC:55	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55	Gene with protein product	Approved
gene	ABCC5	ATP binding cassette subfamily C member 5	HGNC:56	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:56	Gene with protein product	Approved
gene	ABCC6	ATP binding cassette subfamily C member 6	HGNC:57	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:57	Gene with protein product	Approved
gene	ABCC8	ATP binding cassette subfamily C member 8	HGNC:59	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:59	Gene with protein product	Approved
gene	ABCC9	ATP binding cassette subfamily C member 9	HGNC:60	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:60	Gene with protein product	Approved
gene	ABCC10	ATP binding cassette subfamily C member 10	HGNC:52	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:52	Gene with protein product	Approved
gene	ABCC11	ATP binding cassette subfamily C member 11	HGNC:14639	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14639	Gene with protein product	Approved
gene	ABCC12	ATP binding cassette subfamily C member 12	HGNC:14640	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14640	Gene with protein product	Approved
gene	ABCD1	ATP binding cassette subfamily D member 1	HGNC:61	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:61	Gene with protein product	Approved
gene	ABCD2	ATP binding cassette subfamily D member 2	HGNC:66	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:66	Gene with protein product	Approved
gene	ABCD3	ATP binding cassette subfamily D member 3	HGNC:67	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:67	Gene with protein product	Approved
gene	ABCD4	ATP binding cassette subfamily D member 4	HGNC:68	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:68	Gene with protein product	Approved
gene	ABCE1	ATP binding cassette subfamily E member 1	HGNC:69	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:69	Gene with protein product	Approved
gene	ABCF1	ATP binding cassette subfamily F member 1	HGNC:70	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:70	Gene with protein product	Approved
gene	ABCF2	ATP binding cassette subfamily F member 2	HGNC:71	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:71	Gene with protein product	Approved
gene	ABCF3	ATP binding cassette subfamily F member 3	HGNC:72	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:72	Gene with protein product	Approved
gene	ABCG1	ATP binding cassette subfamily G member 1	HGNC:73	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:73	Gene with protein product	Approved
gene	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	HGNC:74	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:74	Gene with protein product	Approved
gene	ABCG4	ATP binding cassette subfamily G member 4	HGNC:13884	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13884	Gene with protein product	Approved
gene	ABCG5	ATP binding cassette subfamily G member 5	HGNC:13886	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13886	Gene with protein product	Approved
gene	ABCG8	ATP binding cassette subfamily G member 8	HGNC:13887	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13887	Gene with protein product	Approved
gene	ABHD1	abhydrolase domain containing 1	HGNC:17553	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17553	Gene with protein product	Approved
gene	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	HGNC:18717	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18717	Gene with protein product	Approved
gene	ABHD3	abhydrolase domain containing 3, phospholipase	HGNC:18718	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18718	Gene with protein product	Approved
gene	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	HGNC:20154	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20154	Gene with protein product	Approved
gene	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	HGNC:21396	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21396	Gene with protein product	Approved
gene	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	HGNC:21398	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21398	Gene with protein product	Approved
gene	ABHD8	abhydrolase domain containing 8	HGNC:23759	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23759	Gene with protein product	Approved
gene	ABHD10	abhydrolase domain containing 10, depalmitoylase	HGNC:25656	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25656	Gene with protein product	Approved
gene	ABHD11	abhydrolase domain containing 11	HGNC:16407	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16407	Gene with protein product	Approved
gene	ABHD12	abhydrolase domain containing 12, lysophospholipase	HGNC:15868	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15868	Gene with protein product	Approved
gene	ABHD12B	abhydrolase domain containing 12B	HGNC:19837	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19837	Gene with protein product	Approved
gene	ABHD13	abhydrolase domain containing 13	HGNC:20293	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20293	Gene with protein product	Approved
gene	ABHD14A	abhydrolase domain containing 14A	HGNC:24538	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24538	Gene with protein product	Approved
gene	ABHD14B	abhydrolase domain containing 14B	HGNC:28235	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28235	Gene with protein product	Approved
gene	ABHD15	abhydrolase domain containing 15	HGNC:26971	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26971	Gene with protein product	Approved
gene	ABHD16A	abhydrolase domain containing 16A, phospholipase	HGNC:13921	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13921	Gene with protein product	Approved
gene	ABHD16B	abhydrolase domain containing 16B	HGNC:16128	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16128	Gene with protein product	Approved
gene	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	HGNC:28756	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28756	Gene with protein product	Approved
gene	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	HGNC:24278	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24278	Gene with protein product	Approved
gene	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	HGNC:26925	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26925	Gene with protein product	Approved
gene	ABHD18	abhydrolase domain containing 18	HGNC:26111	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:26111	Gene with protein product	Approved
gene	ABI1	abl interactor 1	HGNC:11320	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:11320	Gene with protein product	Approved
gene	ABI2	abl interactor 2	HGNC:24011	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24011	Gene with protein product	Approved
gene	ABI3	ABI family member 3	HGNC:29859	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29859	Gene with protein product	Approved
gene	ABI3BP	ABI family member 3 binding protein	HGNC:17265	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17265	Gene with protein product	Approved
gene	ABITRAM	actin binding transcription modulator	HGNC:1364	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1364	Gene with protein product	Approved
gene	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	HGNC:76	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:76	Gene with protein product	Approved
gene	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC:77	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:77	Gene with protein product	Approved
gene	ABLIM1	actin binding LIM protein 1	HGNC:78	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:78	Gene with protein product	Approved
gene	ABLIM2	actin binding LIM protein family member 2	HGNC:19195	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19195	Gene with protein product	Approved
gene	ABLIM3	actin binding LIM protein family member 3	HGNC:29132	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29132	Gene with protein product	Approved
gene	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	HGNC:79	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:79	Gene with protein product	Approved
gene	ABR	ABR activator of RhoGEF and GTPase	HGNC:81	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:81	Gene with protein product	Approved
gene	ABRA	actin binding Rho activating protein	HGNC:30655	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30655	Gene with protein product	Approved
gene	ABRACL	ABRA C-terminal like	HGNC:21230	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21230	Gene with protein product	Approved
gene	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	HGNC:25829	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25829	Gene with protein product	Approved
gene	ABRAXAS2	abraxas 2, BRISC complex subunit	HGNC:28975	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28975	Gene with protein product	Approved
gene	ABT1	activator of basal transcription 1	HGNC:17369	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17369	Gene with protein product	Approved
gene	ABTB1	ankyrin repeat and BTB domain containing 1	HGNC:18275	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18275	Gene with protein product	Approved
gene	ABTB2	ankyrin repeat and BTB domain containing 2	HGNC:23842	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23842	Gene with protein product	Approved
gene	ACAA1	acetyl-CoA acyltransferase 1	HGNC:82	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:82	Gene with protein product	Approved
gene	ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:83	Gene with protein product	Approved
gene	ACACA	acetyl-CoA carboxylase alpha	HGNC:84	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:84	Gene with protein product	Approved
gene	ACACB	acetyl-CoA carboxylase beta	HGNC:85	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:85	Gene with protein product	Approved
gene	ACAD8	acyl-CoA dehydrogenase family member 8	HGNC:87	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:87	Gene with protein product	Approved
gene	ACAD9	acyl-CoA dehydrogenase family member 9	HGNC:21497	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21497	Gene with protein product	Approved
gene	ACAD10	acyl-CoA dehydrogenase family member 10	HGNC:21597	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21597	Gene with protein product	Approved
gene	ACAD11	acyl-CoA dehydrogenase family member 11	HGNC:30211	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30211	Gene with protein product	Approved
gene	ACADL	acyl-CoA dehydrogenase long chain	HGNC:88	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:88	Gene with protein product	Approved
gene	ACADM	acyl-CoA dehydrogenase medium chain	HGNC:89	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:89	Gene with protein product	Approved
gene	ACADS	acyl-CoA dehydrogenase short chain	HGNC:90	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:90	Gene with protein product	Approved
gene	ACADSB	acyl-CoA dehydrogenase short/branched chain	HGNC:91	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:91	Gene with protein product	Approved
gene	ACADVL	acyl-CoA dehydrogenase very long chain	HGNC:92	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:92	Gene with protein product	Approved
gene	ACAN	aggrecan	HGNC:319	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:319	Gene with protein product	Approved
gene	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16467	Gene with protein product	Approved
gene	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	HGNC:16469	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16469	Gene with protein product	Approved
gene	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	HGNC:16754	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16754	Gene with protein product	Approved
gene	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:93	Gene with protein product	Approved
gene	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:94	Gene with protein product	Approved
gene	ACBD3	acyl-CoA binding domain containing 3	HGNC:15453	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15453	Gene with protein product	Approved
gene	ACBD4	acyl-CoA binding domain containing 4	HGNC:23337	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23337	Gene with protein product	Approved
gene	ACBD5	acyl-CoA binding domain containing 5	HGNC:23338	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23338	Gene with protein product	Approved
gene	ACBD6	acyl-CoA binding domain containing 6	HGNC:23339	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23339	Gene with protein product	Approved
gene	ACBD7	acyl-CoA binding domain containing 7	HGNC:17715	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17715	Gene with protein product	Approved
gene	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	HGNC:23989	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23989	Gene with protein product	Approved
gene	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	HGNC:34391	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:34391	Gene with protein product	Approved
gene	ACD	ACD shelterin complex subunit and telomerase recruitment factor	HGNC:25070	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25070	Gene with protein product	Approved
gene	ACE	angiotensin I converting enzyme	HGNC:2707	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:2707	Gene with protein product	Approved
gene	ACE2	angiotensin converting enzyme 2	HGNC:13557	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13557	Gene with protein product	Approved
gene	ACER1	alkaline ceramidase 1	HGNC:18356	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18356	Gene with protein product	Approved
gene	ACER2	alkaline ceramidase 2	HGNC:23675	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23675	Gene with protein product	Approved
gene	ACER3	alkaline ceramidase 3	HGNC:16066	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16066	Gene with protein product	Approved
gene	ACHE	acetylcholinesterase (Cartwright blood group)	HGNC:108	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:108	Gene with protein product	Approved
gene	ACIN1	apoptotic chromatin condensation inducer 1	HGNC:17066	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17066	Gene with protein product	Approved
gene	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	HGNC:4035	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:4035	Gene with protein product	Approved
gene	ACKR2	atypical chemokine receptor 2	HGNC:1565	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1565	Gene with protein product	Approved
gene	ACKR3	atypical chemokine receptor 3	HGNC:23692	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23692	Gene with protein product	Approved
gene	ACKR4	atypical chemokine receptor 4	HGNC:1611	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:1611	Gene with protein product	Approved
gene	ACLY	ATP citrate lyase	HGNC:115	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:115	Gene with protein product	Approved
gene	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	HGNC:19288	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19288	Gene with protein product	Approved
gene	ACO1	aconitase 1	HGNC:117	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:117	Gene with protein product	Approved
gene	ACO2	aconitase 2	HGNC:118	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:118	Gene with protein product	Approved
gene	ACOD1	aconitate decarboxylase 1	HGNC:33904	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33904	Gene with protein product	Approved
gene	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33128	Gene with protein product	Approved
gene	ACOT2	acyl-CoA thioesterase 2	HGNC:18431	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18431	Gene with protein product	Approved
gene	ACOT4	acyl-CoA thioesterase 4	HGNC:19748	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19748	Gene with protein product	Approved
gene	ACOT6	acyl-CoA thioesterase 6	HGNC:33159	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33159	Gene with protein product	Approved
gene	ACOT7	acyl-CoA thioesterase 7	HGNC:24157	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24157	Gene with protein product	Approved
gene	ACOT8	acyl-CoA thioesterase 8	HGNC:15919	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15919	Gene with protein product	Approved
gene	ACOT9	acyl-CoA thioesterase 9	HGNC:17152	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17152	Gene with protein product	Approved
